feature,horizon_steps,horizon_hours,samples,mae,rmse,bias,interval_coverage,mean_interval_width
electricity_price_per_kwh,4,1.0,1840,0.012571106323003964,0.03380041501511262,-0.008688931567194724,0.8260869565217391,0.0329
electricity_price_per_kwh,8,2.0,1760,0.017580093566054892,0.04889910122064809,-0.015371595557834036,0.7954545454545454,0.0329
electricity_price_per_kwh,12,3.0,1680,0.02239320311636025,0.05932613510155336,-0.02096953198195196,0.7619047619047619,0.032900000000000006
electricity_price_per_kwh,16,4.0,1600,0.026807553660330146,0.06644021663616274,-0.025380790864825697,0.75,0.03290000000000001
occupancy,4,1.0,1840,2.1023300830306946,4.59565050391811,0.626280402054059,0.9717391304347827,18.59296017715296
occupancy,8,2.0,1760,2.873076355326272,5.755854444500255,1.2055393233399543,0.9818181818181818,25.96383816603843
occupancy,12,3.0,1680,3.180982396443382,5.697740706142008,1.6663290006493563,0.9940476190476191,32.19157218242451
occupancy,16,4.0,1600,3.443794354262518,5.721285019425247,1.9680912858054362,0.9875,37.35938112039093
outdoor_relative_humidity_pct,4,1.0,1840,1.7149662018473077,2.1169864268422485,1.2634751097777193,1.0,26.38899146728222
outdoor_relative_humidity_pct,8,2.0,1760,2.4000761381884383,2.8901516300478973,2.1580728680116197,1.0,37.51528956091101
outdoor_relative_humidity_pct,12,3.0,1680,2.885805123507843,3.3753664490852473,2.7528467767268325,1.0,46.18722214260648
outdoor_relative_humidity_pct,16,4.0,1600,3.243838286645054,3.71110201499366,3.1573812745650867,1.0,53.326921024801464
outdoor_temperature_c,4,1.0,1840,0.40717306768241907,0.4822426564407673,0.3547338746507138,1.0,6.487508308369037
outdoor_temperature_c,8,2.0,1760,0.6335828861626394,0.7223136550888591,0.617068654629712,1.0,9.216723233386114
outdoor_temperature_c,12,3.0,1680,0.8114946939978946,0.9020484065418104,0.8055315905477685,1.0,11.351818315877951
outdoor_temperature_c,16,4.0,1600,0.9488713915490159,1.0330861211193556,0.9485280734949216,1.0,13.19249509692966
solar_radiation_w_per_m2,4,1.0,1840,16.954767773999112,31.292033289563403,4.236010061066572,0.9891304347826086,140.28624274907017
solar_radiation_w_per_m2,8,2.0,1760,19.432149249777787,35.851539742810886,7.691837349871145,0.9954545454545455,194.97677924554782
solar_radiation_w_per_m2,12,3.0,1680,21.733815453305326,38.421031534222244,10.393249221542083,1.0,243.01144533863268
solar_radiation_w_per_m2,16,4.0,1600,23.901608635571357,41.966284326810275,12.629423791499585,0.9975,289.14553866187345
