step,action,reward,energy_component,comfort_component,co2_component,switch_component,peak_component,overcooling_component,energy_weight,comfort_weight,co2_weight,energy_priority_percent,comfort_priority_percent,co2_priority_percent,comfort_violation,co2_violation
1,0,-0.383,0.1915,0.0,0.0,0.0,0.0,0.0,2.0,2.5,1.5,33.333333333333336,41.666666666666664,25.0,False,False
2,0,-0.3571234325864331,0.1915,0.0,0.0,0.0,0.0,0.0,1.8648743216001729,2.6351256783998274,1.5,31.081238693336214,43.91876130666379,25.0,False,False
3,0,-0.358293650614896,0.1915,0.0,0.0,0.0,0.0,0.0,1.8709851207044177,2.6290148792955828,1.5,31.183085345073625,43.816914654926386,25.0,False,False
4,0,-0.3588527260957563,0.1915,0.0,0.0,0.0,0.0,0.0,1.8739045749125656,2.626095425087434,1.5,31.231742915209427,43.76825708479057,25.0,False,False
5,0,-0.35917325638325776,0.1915,0.0,0.0,0.0,0.0,0.0,1.8755783623146618,2.624421637685338,1.5,31.25963937191103,43.74036062808897,25.0,False,False
6,0,-0.35980907695425446,0.1915,0.0,0.0,0.0,0.0,0.0,1.8788985741736526,2.621101425826348,1.5,31.31497623622754,43.68502376377247,25.0,False,False
7,0,-0.36059774685937035,0.1915,0.0,0.0,0.0,0.0,0.0,1.8830169548792184,2.6169830451207816,1.5,31.383615914653642,43.61638408534636,25.0,False,False
8,0,-0.3613281089628759,0.1915,0.0,0.0,0.0,0.0,0.0,1.8868308562030074,2.613169143796992,1.5,31.44718093671679,43.5528190632832,25.0,False,False
9,0,-0.362663162872511,0.1915,0.0,0.0,0.0,0.0,0.0,1.8938024170888303,2.6061975829111694,1.5,31.56337361814717,43.436626381852825,25.0,False,False
10,0,-0.36385601503843806,0.1915,0.0,0.0,0.0,0.0,0.0,1.900031410122392,2.599968589877608,1.5,31.667190168706536,43.33280983129347,25.0,False,False
11,0,-0.36502636405237715,0.1915,0.0,0.0,0.0,0.0,0.0,1.9061428932239015,2.5938571067760985,1.5,31.76904822039836,43.23095177960164,25.0,False,False
12,0,-0.36594260748264457,0.1915,0.0,0.0,0.0,0.0,0.0,1.910927454217465,2.5890725457825345,1.5,31.84879090362442,43.151209096375574,25.0,False,False
13,0,-0.3663934362799834,0.1915,0.0,0.0,0.0,0.0,0.0,1.9132816515926026,2.5867183484073974,1.5,31.88802752654338,43.111972473456625,25.0,False,False
14,0,-0.36656477310554486,0.1915,0.0,0.0,0.0,0.0,0.0,1.914176360864464,2.585823639135536,1.5,31.902939347741068,43.09706065225893,25.0,False,False
15,0,-0.36650821268021244,0.1915,0.0,0.0,0.0,0.0,0.0,1.9138810061629892,2.586118993837011,1.5,31.89801676938315,43.101983230616845,25.0,False,False
16,0,-0.36622835762370365,0.1915,0.0,0.0,0.0,0.0,0.0,1.9124196220558938,2.5875803779441062,1.5,31.87366036759823,43.126339632401766,25.0,False,False
17,0,-0.36589824983207836,0.1915,0.0,0.0,0.0,0.0,0.0,1.9106958215774326,2.589304178422567,1.5,31.844930359623877,43.15506964037612,25.0,False,False
18,0,-0.36552029223855204,0.1915,0.0,0.0,0.0,0.0,0.0,1.908722152681734,2.591277847318266,1.5,31.812035878028897,43.1879641219711,25.0,False,False
19,0,-0.3653093699133322,0.1915,0.0,0.0,0.0,0.0,0.0,1.9076207306179227,2.5923792693820773,1.5,31.793678843632048,43.206321156367956,25.0,False,False
20,0,-0.36510786164587544,0.1915,0.0,0.0,0.0,0.0,0.0,1.906568468124676,2.593431531875324,1.5,31.776141135411265,43.22385886458873,25.0,False,False
21,0,-0.364867861925547,0.1915,0.0,0.0,0.0,0.0,0.0,1.90531520587753,2.59468479412247,1.5,31.755253431292164,43.24474656870783,25.0,False,False
22,0,-0.3646168166199011,0.1915,0.0,0.0,0.0,0.0,0.0,1.9040042643336872,2.5959957356663126,1.5,31.733404405561455,43.26659559443854,25.0,False,False
23,0,-0.5069761857669265,0.2665,0.0,0.0,0.0,0.0,0.0,1.9023496651667033,2.597650334833297,1.5,31.70582775277839,43.29417224722162,25.0,False,False
24,0,-0.504824984926407,0.2665,0.0,0.0,0.0,0.0,0.0,1.8942776169846416,2.6057223830153586,1.5,31.571293616410696,43.428706383589315,25.0,False,False
25,0,-0.5015324749289852,0.2665,0.0,0.0,0.0,0.0,0.0,1.8819229828479747,2.618077017152025,1.5,31.365383047466242,43.63461695253375,25.0,False,False
26,0,-0.49751538010083063,0.2665,0.0,0.0,0.0,0.0,0.0,1.866849456288295,2.6331505437117046,1.5,31.114157604804916,43.88584239519508,25.0,False,False
27,0,-0.3536663128730216,0.1915,0.0,0.0,0.0,0.0,0.0,1.846821477143716,2.653178522856284,1.5,30.780357952395264,44.21964204760474,25.0,False,False
28,0,-0.3493812999496823,0.1915,0.0,0.0,0.0,0.0,0.0,1.8244454305466438,2.675554569453356,1.5,30.40742384244406,44.59257615755593,25.0,False,False
29,0,-0.5505472492057766,0.3064,0.0,0.0,0.0,0.0,0.0,1.7968252258674169,2.7031747741325827,1.5,29.947087097790284,45.052912902209705,25.0,False,False
30,0,-0.5400967579007387,0.3064,0.0,0.0,0.0,0.0,0.0,1.7627178782661186,2.7372821217338816,1.5,29.378631304435313,45.62136869556469,25.0,False,False
31,0,-0.5279535258046435,0.3064,0.0,0.0,0.0,0.0,0.0,1.723085919727949,2.776914080272051,1.5,28.71809866213248,46.28190133786752,25.0,False,False
32,1,-2.7593970184403367,0.6509619877277243,0.46985167522211313,0.0,0.3333333333333333,0.0,0.0,1.0,4.416503775150563,1.5,14.458171823642667,63.85457044089333,21.687257735463998,True,False
33,3,-4.863181329987573,1.10442664841779,0.7834563997236593,0.0,0.6666666666666666,0.0,0.0,1.0,4.712563476672587,1.518489894383878,13.829243800117311,65.17118924243366,20.999566957449037,True,False
34,3,-5.263409609113915,1.399042661086413,0.7815249316944552,0.0,0.0,0.0,0.0,1.0,4.9446496091289305,1.62441208262543,13.211677229284408,65.32711464771874,21.461208122996858,True,False
