scenario,seed,step,proposed_action,executed_action,decision,intervention,constraint,reason
normal_v2,901,1,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,2,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,3,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,4,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,5,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,6,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,7,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,8,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,9,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,10,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,11,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,12,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,13,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,14,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,15,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,16,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,17,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,18,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,19,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,20,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,21,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,22,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,23,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,24,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,25,2,2,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,26,2,2,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,27,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,28,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,29,0,0,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,30,2,2,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,31,2,2,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,32,2,2,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,33,2,2,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,34,2,2,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,35,2,2,ALLOW,False,,Proposed action remains within configured short-horizon margins.
normal_v2,901,36,2,2,ALLOW,False,,Proposed action remains within configured short-horizon margins.
