scenario,step,timestamp,proposed_action,shield_decision,executed_action,top_feature,top_feature_importance_pct,energy_priority_pct,comfort_priority_pct,co2_priority_pct,counterfactual_found
normal_v2,32,Day 1 08:15,OFF,ALLOW,OFF,co2_risk,11.56845188681483,13.733364702803096,64.54638015738495,21.72025513981196,True
normal_v2,48,Day 1 12:15,HIGH,ALLOW,HIGH,weather_reliability,11.600142152555486,15.557620953044225,60.40014094578336,24.042238101172405,True
normal_v2,60,Day 1 15:15,LOW,CLAMP,MEDIUM,forecast_4h_occupancy,11.909028790615578,15.665322542476163,56.56994167924412,27.764735778279714,True
normal_v2,72,Day 1 18:15,LOW,ALLOW,LOW,thermal_risk,8.944023652310022,14.946327688077197,55.12070534254932,29.93296696937349,True
hot_day_v2,32,Day 1 08:15,OFF,ALLOW,OFF,forecast_1h_outdoor_relative_humidity_pct,11.031861046820069,21.92785817812288,52.06465090928538,26.007490912591734,True
hot_day_v2,48,Day 1 12:15,HIGH,ALLOW,HIGH,outdoor_temperature_c,14.38758849140375,10.0,75.0,15.0,True
hot_day_v2,60,Day 1 15:15,HIGH,ALLOW,HIGH,outdoor_temperature_c,10.762502425058932,9.646687655329519,69.60699792657186,20.74631441809861,True
hot_day_v2,72,Day 1 18:15,LOW,CLAMP,MEDIUM,forecast_4h_electricity_price_per_kwh,8.876630344579722,10.0,75.0,15.0,True
high_occupancy_v2,32,Day 1 08:15,OFF,ALLOW,OFF,co2_risk,15.285053400216878,13.54851722236648,64.65407154981688,21.79741122781665,True
high_occupancy_v2,48,Day 1 12:15,MEDIUM,ALLOW,MEDIUM,weather_reliability,8.637574488341912,12.79135557500245,47.30298140192136,39.905663023076194,True
high_occupancy_v2,60,Day 1 15:15,HIGH,ALLOW,HIGH,hvac_action,9.58020480458864,12.298877959730447,42.4995823855281,45.20153965474146,True
high_occupancy_v2,72,Day 1 18:15,LOW,CLAMP,MEDIUM,forecast_4h_occupancy,10.335399842493437,10.058239030820005,66.63502531607678,23.306735653103203,True
